,tau,horizon,coeff,tval,pval,lower_ci,upper_ci,pseudo_r2
autoreg,0.75,1,0.47813510971826484,1.792984215040946,0.08162153356362127,-0.0632337818041459,1.0195040012406755,0.708882543502084
Intercept,0.9,1,0.42245532088491095,3.627178656820886,0.0009039871286053582,0.18600986908803493,0.6589007726817869,0.7507498492937068
domestic_fci,0.9,1,0.002020381717548211,0.011786345364008041,0.9906630034152981,-0.34597493118170725,0.35001569461680365,0.7507498492937068
leverage,0.9,1,0.0031188833988234736,0.016862689599326124,0.9866419195125292,-0.3723651031825899,0.3786028699802369,0.7507498492937068
trade_partners_macro,0.9,1,0.680499542364742,1.5436029821510986,0.1316790425036008,-0.214476388687303,1.575475473416787,0.7507498492937068
euro_area_fci,0.9,1,-0.075020227823576,-0.2813985259158985,0.7800617881404852,-0.6162425344724253,0.4662020788252733,0.7507498492937068
world_fci,0.9,1,0.08976193847054602,0.519930457691747,0.606385217309295,-0.2607203620916806,0.44024423903277266,0.7507498492937068
autoreg,0.9,1,0.14600264684912959,0.2983003096172021,0.7672377669365262,-0.847630686265119,1.1396359799633782,0.7507498492937068
Intercept,0.1,4,-0.5640902430469599,,,,,0.6303090088069702
domestic_fci,0.1,4,-0.4743460685555529,,,,,0.6303090088069702
leverage,0.1,4,0.024177541795811143,,,,,0.6303090088069702
trade_partners_macro,0.1,4,0.9161170599278482,,,,,0.6303090088069702
euro_area_fci,0.1,4,0.09710023019990473,,,,,0.6303090088069702
world_fci,0.1,4,0.1727128692563777,,,,,0.6303090088069702
autoreg,0.1,4,-0.21949251786517063,,,,,0.6303090088069702
Intercept,0.25,4,-0.3862785174476587,-5.700770839601852,2.5856539268499277e-06,-0.5242990789102596,-0.24825795598505776,0.6121492157028492
domestic_fci,0.25,4,-0.4219238293316383,-6.060753707091291,9.10505276815526e-07,-0.5637264429835377,-0.2801212156797389,0.6121492157028492
leverage,0.25,4,0.0773982884924875,0.7013813272467092,0.48813482787759666,-0.14737980073320014,0.3021763777181752,0.6121492157028492
trade_partners_macro,0.25,4,0.6506115038900494,2.9000086367137583,0.006693294097227055,0.19362932489415624,1.1075936828859425,0.6121492157028492
euro_area_fci,0.25,4,0.042044533416354696,0.34291056558203825,0.733908244905917,-0.20770546154408423,0.29179452837679365,0.6121492157028492
world_fci,0.25,4,0.08837919871811184,1.0148454611218054,0.31779167390603863,-0.08900991483047926,0.26576831226670294,0.6121492157028492
autoreg,0.25,4,0.1283795785446364,0.5473787345759374,0.5879162661852404,-0.34935298145244387,0.6061121385417167,0.6121492157028492
Intercept,0.5,4,-0.1900620144230266,-2.523902052375078,0.016766342796117578,-0.3434529331154307,-0.036671095730622466,0.6008810160849418
