,tau,horizon,coeff,tval,pval,lower_ci,upper_ci,pseudo_r2
Intercept,0.75,1,0.3043433626291415,3.2517288878567374,0.002540365465633586,0.11433678622263699,0.49434993903564606,0.6754360848932792
domestic_fci,0.75,1,-0.05466122713865074,-0.2117519901243643,0.8335287953504068,-0.5787091499793986,0.4693866957020971,0.6754360848932792
leverage,0.75,1,-0.05669346253681003,-0.5366178078305912,0.5949264509011143,-0.27117357500500566,0.15778664993138564,0.6754360848932792
trade_partners_macro,0.75,1,0.3697028643794423,1.5328569226596878,0.13430147675159573,-0.11992973275251778,0.8593354615114024,0.6754360848932792
euro_area_fci,0.75,1,-0.08514712343777134,-0.7110862732313662,0.4817431236240005,-0.3282369662120072,0.15794271933646453,0.6754360848932792
world_fci,0.75,1,0.003376943458365984,0.024562601917036263,0.9805433604221886,-0.2757286541993072,0.28248254111603915,0.6754360848932792
autoreg,0.75,1,0.7389020396286484,4.131862617299565,0.00021282469057151154,0.3758573240154158,1.1019467552418811,0.6754360848932792
Intercept,0.9,1,0.4225948003811738,3.3608216310652526,0.0018898888647099282,0.16732595577448578,0.6778636449878619,0.7069001614016224
domestic_fci,0.9,1,0.028451822814388843,0.0802210680414896,0.9365183893480012,-0.6915619152075443,0.748465560836322,0.7069001614016224
leverage,0.9,1,0.03347862174300252,0.23686504293852573,0.8141423982965866,-0.2534578319615778,0.32041507544758285,0.7069001614016224
trade_partners_macro,0.9,1,0.20492944269726748,0.5602784011981793,0.5788584812791531,-0.5376101330956802,0.9474690184902153,0.7069001614016224
euro_area_fci,0.9,1,-0.07336687462521148,-0.45804782764747937,0.64974933910902,-0.3985352628534802,0.25180151360305725,0.7069001614016224
world_fci,0.9,1,-0.05807852635247726,-0.4040380858965596,0.6886429989336604,-0.3498967507350329,0.2337396980300784,0.7069001614016224
autoreg,0.9,1,0.7512061856336424,4.007584201049771,0.00030542424931270145,0.370670292512275,1.1317420787550097,0.7069001614016224
Intercept,0.1,4,-0.6242595419007015,,,,,0.49509290166815856
domestic_fci,0.1,4,0.18314546046521715,,,,,0.49509290166815856
leverage,0.1,4,-0.33533645722549993,,,,,0.49509290166815856
trade_partners_macro,0.1,4,-0.35988115076305544,,,,,0.49509290166815856
euro_area_fci,0.1,4,-0.0812423709071872,,,,,0.49509290166815856
world_fci,0.1,4,0.41369078541768234,,,,,0.49509290166815856
autoreg,0.1,4,0.7052410571354415,,,,,0.49509290166815856
Intercept,0.25,4,-0.36923722485587884,-5.020767690503477,1.8707601861631597e-05,-0.5190373473308132,-0.21943710238094444,0.5030412615405486
domestic_fci,0.25,4,0.17222561233837205,1.4978120448731942,0.14398240888588815,-0.06199075250569849,0.40644197718244257,0.5030412615405486
leverage,0.25,4,-0.22828849147863214,-3.227037752250076,0.0028844703974408776,-0.37238610542715267,-0.08419087753011159,0.5030412615405486
trade_partners_macro,0.25,4,-0.39671904419095155,-2.1909026489234247,0.03585652117964354,-0.7655580017298698,-0.027880086652033287,0.5030412615405486
euro_area_fci,0.25,4,-0.02675087697849824,-0.2906578334757204,0.7731885123488476,-0.21422132163401442,0.16071956767701795,0.5030412615405486
world_fci,0.25,4,0.2690842155667674,2.745326142242634,0.009833369376217115,0.06943339723484768,0.4687350338986872,0.5030412615405486
autoreg,0.25,4,0.7014395172278363,4.957548907901208,2.2480383091628493e-05,0.4132354939080106,0.9896435405476619,0.5030412615405486
Intercept,0.5,4,-0.09441011271053812,-1.0824820846545558,0.28712817895833415,-0.2720639596111923,0.08324373419011605,0.5145144854208084
domestic_fci,0.5,4,0.07345742836802101,0.3778723236073941,0.7080204275218245,-0.3225172853639006,0.4694321420999426,0.5145144854208084
leverage,0.5,4,-0.2875668728930327,-3.0656645629086547,0.0043896773548481455,-0.4786362282808955,-0.09649751750516983,0.5145144854208084
trade_partners_macro,0.5,4,-0.21509601009528498,-0.9631543182790451,0.3426924499488784,-0.6699932437921386,0.23980122360156866,0.5145144854208084
euro_area_fci,0.5,4,0.03327552276939947,0.3413006195918082,0.7351082925153327,-0.1653177933843179,0.23186883892311683,0.5145144854208084
world_fci,0.5,4,0.12931975908905471,1.1263207651831002,0.26840584630650444,-0.10455298604665347,0.3631925042247629,0.5145144854208084
autoreg,0.5,4,0.6557353543665753,3.8704507167466393,0.0005032796122824959,0.3106362159081907,1.0008344928249597,0.5145144854208084
Intercept,0.75,4,0.14090692728986612,1.4825670305583285,0.1479717025953086,-0.052688379097829946,0.33450223367756216,0.5122027062318157
domestic_fci,0.75,4,0.014147012379113831,0.0540043619273949,0.9572674432492206,-0.5194491675757865,0.5477431923340143,0.5122027062318157
leverage,0.75,4,-0.3460296875607059,-2.9713770564309914,0.005587683978994434,-0.5832393701534921,-0.10882000496791971,0.5122027062318157
trade_partners_macro,0.75,4,-0.013713659691111693,-0.058873325297888,0.9534191293819224,-0.48818678558217204,0.4607594661999486,0.5122027062318157
euro_area_fci,0.75,4,0.1224133593782646,1.1341403903154452,0.26516066326322046,-0.09744289081065498,0.34226960956718416,0.5122027062318157
world_fci,0.75,4,0.08836231765143901,0.6610456520496143,0.5133145990119865,-0.1839156264989603,0.3606402618018383,0.5122027062318157
autoreg,0.75,4,0.45500175420315553,2.478868006640358,0.01863916459178679,0.08111809360221861,0.8288854148040925,0.5122027062318157
Intercept,0.9,4,0.4992182117761243,,,,,0.6030511726241419
domestic_fci,0.9,4,0.2887900631349411,,,,,0.6030511726241419
leverage,0.9,4,-0.18902506413656886,,,,,0.6030511726241419
trade_partners_macro,0.9,4,0.0369617551956764,,,,,0.6030511726241419
euro_area_fci,0.9,4,-0.09235801643616107,,,,,0.6030511726241419
world_fci,0.9,4,0.21209890306860882,,,,,0.6030511726241419
autoreg,0.9,4,0.4711976830117178,,,,,0.6030511726241419
Intercept,0.1,8,-0.8184903107706534,,,,,0.3829220786971418
domestic_fci,0.1,8,-0.12574271757578198,,,,,0.3829220786971418
leverage,0.1,8,-0.16241885363877662,,,,,0.3829220786971418
trade_partners_macro,0.1,8,-0.020649267327436573,,,,,0.3829220786971418
euro_area_fci,0.1,8,-0.26492750892662814,,,,,0.3829220786971418
world_fci,0.1,8,0.2490625853112207,,,,,0.3829220786971418
autoreg,0.1,8,-0.03576753416401622,,,,,0.3829220786971418
Intercept,0.25,8,-0.34357245976456435,-3.8845842120251124,0.0005721255003723413,-0.5247440451628894,-0.16240087436623932,0.4111171897602697
domestic_fci,0.25,8,0.018901371805097402,0.10754876965626203,0.915120586154115,-0.3411000035619563,0.37890274717215106,0.4111171897602697
leverage,0.25,8,-0.21226543939124032,-2.809214701604244,0.008954016838110269,-0.36704394092656967,-0.05748693785591097,0.4111171897602697
trade_partners_macro,0.25,8,-0.36277513027887515,-1.9770111630887688,0.05796286439199581,-0.7386511908712461,0.013100930313495851,0.4111171897602697
euro_area_fci,0.25,8,-0.07631902371565363,-0.8805764446150166,0.3860431877862869,-0.2538532221262564,0.10121517469494912,0.4111171897602697
world_fci,0.25,8,0.19519758630925843,2.3627788772987075,0.025319495332778802,0.02597136979838119,0.36442380282013564,0.4111171897602697
autoreg,0.25,8,0.6137498026016956,3.5558749767843723,0.0013628389981582222,0.26019139935838287,0.9673082058450084,0.4111171897602697
Intercept,0.5,8,-0.18631303053287077,-3.678481228161881,0.0009880229575632059,-0.2900637142202669,-0.08256234684547462,0.46910016012616185
domestic_fci,0.5,8,0.10580360456558296,1.033445953505681,0.31023926173192834,-0.1039111448943448,0.31551835402551076,0.46910016012616185
leverage,0.5,8,-0.22662459904656737,-4.613374708844003,7.976903492994681e-05,-0.3272492992911729,-0.12599989880196183,0.46910016012616185
trade_partners_macro,0.5,8,-0.5310832440185443,-4.621996144290488,7.791454622814335e-05,-0.7664522655351924,-0.2957142225018962,0.46910016012616185
euro_area_fci,0.5,8,-0.05668206041604184,-1.128031036016912,0.2688802045794033,-0.1596117969753016,0.04624767614321792,0.46910016012616185
world_fci,0.5,8,0.11231674753640776,1.9121316911440642,0.06614088646150512,-0.008004686840915695,0.2326381819137312,0.46910016012616185
autoreg,0.5,8,0.7576804865808161,8.397834861409766,3.9097850874238554e-09,0.5728664070562165,0.9424945661054157,0.46910016012616185
Intercept,0.75,8,-0.005325788473540944,-0.055165652551534515,0.956398249481686,-0.20308259257734015,0.19243101563025825,0.4127079592064834
domestic_fci,0.75,8,0.10408499309806021,0.5390628457340737,0.5941042370412345,-0.291431865285004,0.49960185148112446,0.4127079592064834
